uniprot_id|name|short
P05198|Eukaryotic translation initiation factor 2 subunit alphaeIF-2-alphaeIF-2AeIF-2alpha
Q9BX84|Melastatin-related TRP cation channel 6
Q9BX84|Channel kinase 2
O94913|Pre-mRNA cleavage complex II protein Pcf11

Q99704|Downstream of tyrosine kinase 1
Q99704|pp62
Q99704|p62(dok)
Q92569|p55PIK
Q92569|Phosphatidylinositol 3-kinase 55 kDa regulatory subunit gammaPI3-kinase subunit p55-gammaPtdIns-3-kinase regulatory subunit p55-gamma


P46937-3|Protein yorkie homolog
P46937-3|Yes-associated protein YAP65 homolog
P55957|p22 BIDBID
Q9UQF2|JNK MAP kinase scaffold protein 1
Q9UQF2|Mitogen-activated protein kinase 8-interacting protein 1
Q9UQF2|Islet-brain 1IB-1
P61981|Protein kinase C inhibitor protein 1KCIP-1
Q99523|100 kDa NT receptor
Q99523|Glycoprotein 95Gp95
Q99523|Neurotensin receptor 3NT3NTR3
Q9P0J1|Pyruvate dehydrogenase phosphatase catalytic subunit 1PDPC 1
Q9P0J1|Protein phosphatase 2C
P24752|Acetoacetyl-CoA thiolase
P24752|T2
O75460|Endoplasmic reticulum-to-nucleus signaling 1
O75460|Inositol-requiring protein 1hIRE1p
O75460|Ire1-alphaIRE1a
P51681|CHEMR13
P51681|HIV-1 fusion coreceptor
P30874|SRIF-1
P41146|Kappa-type 3 opioid receptorKOR-3
P41146|Orphanin FQ receptor
Q96J02|Atrophin-1-interacting protein 4AIP4
Q96J02|HECT-type E3 ubiquitin transferase Itchy homolog
Q96J02|NFE2-associated polypeptide 1NAPP1


Q96S59|BPM-L
Q96S59|BPM90
Q96S59|Ran-binding protein MRanBPM
Q96S59|RanBP7
Q7LG56|p53-inducible ribonucleotide reductase small subunit 2-like proteinp53R2
Q7LG56|TP53-inducible ribonucleotide reductase M2 B
Q9H2K8|Cutaneous T-cell lymphoma-associated antigen HD-CL-09CTCL-associated antigen HD-CL-09
Q9H2K8|JNK/SAPK-inhibitory kinase
Q9H2K8|Dendritic cell-derived protein kinase
Q9H2K8|Kinase from chicken homolog AhKFC-A
Q9H2K8|Jun kinase-inhibitory kinase
Q9H2K8|Thousand and one amino acid protein 3
Q96RU2|Ubiquitin thioesterase 28
Q96RU2|Ubiquitin-specific-processing protease 28
Q96RU2|Deubiquitinating enzyme 28
Q96J02-2|Atrophin-1-interacting protein 4AIP4
Q96J02-2|HECT-type E3 ubiquitin transferase Itchy homolog
Q96J02-2|NFE2-associated polypeptide 1NAPP1
Q6PCD5|RING finger and WD repeat domain-containing protein 3
Q6PCD5|RING finger protein 201
Q9UQR1|Transcription factor ZBP-89
Q9UQR1|Zinc finger DNA-binding protein 89
Q96T60|Polynucleotide kinase-3'-phosphatase
Q96T60|DNA 5'-kinase/3'-phosphatase

Q8IY92|BTB/POZ domain-containing protein 12
Q6UWZ7|Coiled-coil domain-containing protein 98
Q6UWZ7|Protein FAM175A
Q8NHY2|Constitutive photomorphogenesis protein 1 homologhCOP1
Q8NHY2|RING finger and WD repeat domain protein 2
Q8NHY2|RING finger protein 200
Q8NHY2|RING-type E3 ubiquitin transferase RFWD2
O75150|95 kDa retinoblastoma-associated proteinRBP95
O75150|RING finger protein 40
O75150|RING-type E3 ubiquitin transferase BRE1B
Q5VTR2|RING finger protein 20
Q5VTR2|RING-type E3 ubiquitin transferase BRE1A
O15355|Protein phosphatase magnesium-dependent 1 gamma
O15355|Protein phosphatase 2C isoform gammaPP2C-gamma
O15355|Protein phosphatase 1C
Q14839|ATP-dependent helicase CHD4
Q14839|Mi-2 autoantigen 218 kDa protein
Q14839|Mi2-beta



O96028|Multiple myeloma SET domain-containing proteinMMSET
O96028|Nuclear SET domain-containing protein 2
O96028|Protein trithorax-5
O96028|Wolf-Hirschhorn syndrome candidate 1 protein
P15374|Ubiquitin thioesterase L3
Q70CQ2|Deubiquitinating enzyme 34
Q70CQ2|Ubiquitin thioesterase 34
Q70CQ2|Ubiquitin-specific-processing protease 34

Q7L7X3|Prostate-derived sterile 20-like kinase 2PSK-2PSK2Prostate-derived STE20-like kinase 2
Q7L7X3|MARK KinaseMARKK
Q7L7X3|Thousand and one amino acid protein kinase 1TAOK1hTAOK1
Q7L7X3|Kinase from chicken homolog BhKFC-B
Q9BUR4|WD repeat-containing protein 79
Q9BUR4|WD40 repeat-containing protein antisense to TP53 geneWRAP53beta
P37275|Negative regulator of IL2
P37275|NIL-2-A zinc finger protein
P37275|Transcription factor 8TCF-8
P11166|Glucose transporter type 1, erythrocyte/brainGLUT-1
P11166|HepG2 glucose transporter

Q9Y4E8|Deubiquitinating enzyme 15
Q9Y4E8|Ubiquitin thioesterase 15
Q9Y4E8|Ubiquitin-specific-processing protease 15
Q9Y4E8|Unph-2
Q9Y4E8|Unph4
Q8IW19|Apurinic-apyrimidinic endonuclease APLF
Q8IW19|XRCC1-interacting protein 1
Q8IW19|PNK and APTX-like FHA domain-containing protein
Q14161|GRK-interacting protein 2
Q14161|G protein-coupled receptor kinase-interactor 2
Q14161|Cool-interacting tyrosine-phosphorylated protein 2CAT-2CAT2

Q8WVD3|Nemo-like kinase-associated RING finger proteinhNARFNLK-associated RING finger protein
Q8WVD3|RING finger protein 138
Q8WVD3|RING-type E3 ubiquitin transferase RNF138

Q15910-2|ENX-1
Q15910-2|Enhancer of zeste homolog 2
Q15910-2|Lysine N-methyltransferase 6
Q9NZM5|Glioma tumor suppressor candidate region gene 2 protein
Q9NZM5|Protein interacting with carboxyl terminus 1PICT-1
Q9NZM5|p60
O43504|Hepatitis B virus X-interacting proteinHBV X-interacting proteinHBX-interacting protein
O43504|Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5
P51532|ATP-dependent helicase SMARCA4
P51532|BRG1-associated factor 190ABAF190A
P51532|Protein BRG-1
P51532|Mitotic growth and transcription activator
P51532|SNF2-beta
P51532|Protein brahma homolog 1
P51532|SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4
Q03111|YEATS domain-containing protein 1
Q9HB75|Leucine-rich repeat and death domain-containing protein
Q15109|Receptor for advanced glycosylation end products
Q86U86|BRG1-associated factor 180BAF180
Q86U86|Polybromo-1D

P50542|Peroxin-5
P50542|PTS1-BP
P50542|Peroxisome receptor 1
P50542|Peroxisomal C-terminal targeting signal import receptor
P04629-2|Neurotrophic tyrosine kinase receptor type 1
P04629-2|TRK1-transforming tyrosine kinase protein
P04629-2|Tropomyosin-related kinase A
P04629-2|Tyrosine kinase receptor
P04629-2|Tyrosine kinase receptor ATrk-A
P04629-2|gp140trk
P04629-2|p140-TrkA
P04629|Neurotrophic tyrosine kinase receptor type 1
P04629|TRK1-transforming tyrosine kinase protein
P04629|Tropomyosin-related kinase A
P04629|Tyrosine kinase receptor
P04629|Tyrosine kinase receptor ATrk-A
P04629|gp140trk
P04629|p140-TrkA

P30419|Myristoyl-CoA:protein N-myristoyltransferase 1Type I N-myristoyltransferaseNMT 1
P30419|Peptide N-myristoyltransferase 1
O15117|Adhesion and degranulation promoting adaptor proteinADAP
O15117|FYB-120/130p120/p130
O15117|FYN-T-binding protein
O15117|SLAP-130
O15117|SLP-76-associated phosphoprotein
O75051|Semaphorin receptor OCT
Q01628|Dispanin subfamily A member 2bDSPA2b
Q01628|Interferon-inducible protein 1-8U
P07766|T-cell surface antigen T3/Leu-4 epsilon chain
Q86WV1|Src family-associated phosphoprotein 1
Q86WV1|Src kinase-associated phosphoprotein of 55 kDaSKAP-55pp55
Q9UIW2|Semaphorin receptor NOV

O75886|Hrs-binding protein
Q8TDQ1|CD300 antigen-like family member F
Q8TDQ1|Immune receptor expressed on myeloid cells 1IREM-1
Q8TDQ1|Immunoglobulin superfamily member 13IgSF13
Q8TDQ1|NK inhibitory receptor
Q15858|Neuroendocrine sodium channelhNE-Na
Q15858|Peripheral sodium channel 1PN1
Q15858|Sodium channel protein type IX subunit alpha
Q15858|Voltage-gated sodium channel subunit alpha Nav1.7
P35354|Cyclooxygenase-2COX-2
P35354|PHS II
P35354|Prostaglandin H2 synthase 2PGH synthase 2PGHS-2
P35354|Prostaglandin-endoperoxide synthase 2
Q14254|Membrane component chromosome 17 surface marker 1
Q14254|Epidermal surface antigenESA
P31994|Fc-gamma RII-bFc-gamma-RIIbFcRII-b
P31994|CDw32
Q9NPH5|Kidney oxidase-1KOX-1
Q9NPH5|Renal NAD(P)H-oxidase
Q9NPH5|Kidney superoxide-producing NADPH oxidase
O14522-1|Receptor-type tyrosine-protein phosphatase rhoRPTP-rho
Q9NQC3|Foocen
Q9NQC3|Neurite outgrowth inhibitorNogo protein
Q9NQC3|Neuroendocrine-specific proteinNSP
Q9NQC3|Neuroendocrine-specific protein C homolog
Q9NQC3|RTN-x
Q9NQC3|Reticulon-5
Q15762|DNAX accessory molecule 1DNAM-1

A8K4G0|Triggering receptor expressed on myeloid cells 5TREM-5
A8K4G0|Leukocyte mono-Ig-like receptor 5
A8K4G0|CMRF35-A2
A8K4G0|Immune receptor expressed on myeloid cells 3IREM-3
A8K4G0|CD300 antigen-like family member B
Q53HL2|Pluripotent embryonic stem cell-related gene 3 protein
Q53HL2|Dasra-BhDasra-B
Q53HL2|Cell division cycle-associated protein 8
P38646|Peptide-binding protein 74PBP74
P38646|MortalinMOT
P38646|Heat shock 70 kDa protein 9
P38646|75 kDa glucose-regulated proteinGRP-75
Q96PE2|164 kDa Rho-specific guanine-nucleotide exchange factorp164-RhoGEFp164RhoGEF
Q96PE2|Tumor endothelial marker 4
Q96E14|BLM-associated protein of 18 kDaBLAP18

Q5NUL3-2|G-protein coupled receptor 120
Q5NUL3-2|G-protein coupled receptor 129
Q5NUL3-2|G-protein coupled receptor GT01
Q5NUL3-2|G-protein coupled receptor PGR4
Q5NUL3-2|Omega-3 fatty acid receptor 1
P09758|Membrane component chromosome 1 surface marker 1
P09758|Cell surface glycoprotein Trop-2
P09758|Pancreatic carcinoma marker protein GA733-1
Q9BR39|Junctophilin type 2
O94992|Menage a quatre protein 1
O94992|Hexamethylene bis-acetamide-inducible protein 1
O94992|Estrogen down-regulated gene 1 protein
O94992|Cardiac lineage protein 1
Q15080|p40-phoxp40phox
Q15080|SH3 and PX domain-containing protein 4
Q15080|Neutrophil NADPH oxidase factor 4
P08253|72 kDa gelatinase
P08253|Gelatinase A
P08253|Matrix metalloproteinase-2MMP-2
P08253|TBE-1
Q9H3Q1|Binder of Rho GTPases 4
Q96RI1-2|Farnesoid X-activated receptor
Q96RI1-2|Farnesol receptor HRR-1
Q96RI1-2|Nuclear receptor subfamily 1 group H member 4
Q96RI1-2|Retinoid X receptor-interacting protein 14RXR-interacting protein 14
O95243|Mismatch-specific DNA N-glycosylase
O95243|Methyl-CpG-binding protein MBD4
O95243|Methyl-CpG-binding endonuclease 1
P36542|ATP synthase F1 subunit gamma
P36542|F-ATPase gamma subunit
P60880|Synaptosomal-associated 25 kDa protein
P60880|Super proteinSUP

Q15311|Dinitrophenyl S-glutathione ATPaseDNP-SG ATPase
Q15311|Ral-interacting protein 1
Q15311|76 kDa Ral-interacting protein
Q99418|ARF nucleotide-binding site openerProtein ARNO
Q99418|ARF exchange factor
Q99418|PH, SEC7 and coiled-coil domain-containing protein 2
P16150|GPL115
P16150|GalactoglycoproteinGALGP
P16150|Leukocyte sialoglycoprotein
P16150|Sialophorin
P16671|Platelet glycoprotein IVGPIV
P16671|Thrombospondin receptor
P16671|Leukocyte differentiation antigen CD36
P16671|PAS IV
P16671|PAS-4
P16671|Platelet collagen receptor
P16671|Fatty acid translocaseFAT
P16671|Glycoprotein IIIbGPIIIB
Q9Y6H6|Potassium channel subunit beta MiRP2
Q9Y6H6|Minimum potassium ion channel-related peptide 2
Q9Y6H6|MinK-related peptide 2
Q16658|p55
Q16658|Singed-like protein
Q16658|55 kDa actin-bundling protein
P21359-2|Neurofibromatosis-related protein NF-1
O94806|nPKC-nu
O94806|Protein kinase C nu type
O94806|Protein kinase EPK2
Q8N726|Alternative reading frameARF
Q8N726|Cyclin-dependent kinase inhibitor 2A
Q8N726|p14ARF
P01589|TAC antigen
P01589|p55
Q9Y624|Platelet adhesion molecule 1PAM-1
Q9Y624|Platelet F11 receptor
Q9Y624|Junctional adhesion molecule 1JAM-1
Q13303|K(+) channel subunit beta-2
Q13303|Kv-beta-2hKvbeta2
P29972|Aquaporin-CHIP
P29972|Urine water channel
P29972|Water channel protein for red blood cells and kidney proximal tubule
P01730|T-cell surface antigen T4/Leu-3
P21399|Iron-responsive element-binding protein 1IRE-BP 1
P21399|Iron regulatory protein 1IRP1
P21399|Citrate hydro-lyase
P21399|Ferritin repressor protein
Q96PY5-3|Formin homology 2 domain-containing protein 2
P35398|Nuclear receptor RZR-alpha
P35398|Nuclear receptor subfamily 1 group F member 1
P35398|RAR-related orphan receptor A
P35398|Retinoid-related orphan receptor-alpha
Q05940|Solute carrier family 18 member 2
Q05940|Vesicular amine transporter 2VAT2
Q05940|Monoamine transporter
O15519-2|Caspase homologCASH
O15519-2|Caspase-eight-related proteinCasper
O15519-2|Caspase-like apoptosis regulatory proteinCLARP
O15519-2|Cellular FLICE-like inhibitory proteinc-FLIP
O15519-2|FADD-like antiapoptotic molecule 1FLAME-1
O15519-2|Inhibitor of FLICEI-FLICE
O15519-2|MACH-related inducer of toxicityMRIT
O15519-2|Usurpin
Q03721|KSHIIIC
Q03721|Voltage-gated potassium channel subunit Kv3.4

Q9BQE3|Alpha-tubulin 6
Q9BQE3|Tubulin alpha-6 chain
Q14994|Constitutive activator of retinoid responseConstitutive active response
Q14994|Orphan nuclear receptor MB67
Q14994|Constitutive androstane receptorCAR
P35869|Class E basic helix-loop-helix protein 76bHLHe76
P48050|Potassium channel, inwardly rectifying subfamily J member 4
P48050|Inward rectifier K(+) channel Kir2.3IRK-3
P48050|HRK1
P48050|Hippocampal inward rectifierHIR
P48050|HIRK2
O15519|FADD-like antiapoptotic molecule 1FLAME-1
O15519|Inhibitor of FLICEI-FLICE
O15519|Caspase-like apoptosis regulatory proteinCLARP
O15519|Cellular FLICE-like inhibitory proteinc-FLIP
O15519|Caspase homologCASH
O15519|Caspase-eight-related proteinCasper
O15519|MACH-related inducer of toxicityMRIT
O15519|Usurpin
Q92681|Transporter regulator RS1hRS1
P81274|Mosaic protein LGN
Q96MS0|Roundabout-like protein 3
Q01959|Solute carrier family 6 member 3
Q96T49|Ankyrin repeat domain-containing protein 4
Q96T49|CAAX box protein TIMAP
Q96T49|TGF-beta-inhibited membrane-associated proteinhTIMAP
P41180|Parathyroid cell calcium-sensing receptor 1PCaR1
Q8NFA2-3|NADPH oxidase regulatory protein
Q8NFA2-3|Nox organizer 1
Q8NFA2-3|Nox-organizing protein 1
Q8NFA2-3|SH3 and PX domain-containing protein 5
P10599|Surface-associated sulphydryl proteinSASP
P10599|ATL-derived factorADF
P45379|Cardiac muscle troponin TcTnT
Q8N0W4|HNLX
P08567|Platelet 47 kDa proteinp47
P09693|T-cell receptor T3 gamma chain
P41091|Eukaryotic translation initiation factor 2 subunit gamma XeIF-2-gamma XeIF-2gX
Q12791|BKCA alpha
Q12791|BK channel
Q12791|K(VCA)alpha
Q12791|Calcium-activated potassium channel, subfamily M subunit alpha-1
Q12791|Maxi K channelMaxiK
Q12791|KCa1.1
Q12791|Slo-alpha
Q12791|Slowpoke homologSlo homologhSlo
Q12791|Slo1
P43119|Prostanoid IP receptor
P43119|Prostaglandin I2 receptorPGI receptorPGI2 receptor
Q01995|22 kDa actin-binding protein
Q01995|Smooth muscle protein 22-alphaSM22-alpha
Q01995|Protein WS3-10
Q9C0K0|B-cell CLL/lymphoma 11B
Q9C0K0|COUP-TF-interacting protein 2
Q9C0K0|Radiation-induced tumor suppressor gene 1 proteinhRit1

Q9HAN9|Nicotinamide-nucleotide adenylyltransferase 1NMN adenylyltransferase 1
Q9HAN9|Nicotinate-nucleotide adenylyltransferase 1NaMN adenylyltransferase 1
P22460|Voltage-gated potassium channel HK2
P22460|Voltage-gated potassium channel subunit Kv1.5
P22460|HPCN1

Q8TDY4|Development and differentiation-enhancing factor-like 1
Q8TDY4|Protein up-regulated in liver cancer 1
Q9NQC7|Deubiquitinating enzyme CYLD
Q9NQC7|Ubiquitin thioesterase CYLD
Q9NQC7|Ubiquitin-specific-processing protease CYLD
P19438|Tumor necrosis factor receptor 1TNF-R1
P19438|Tumor necrosis factor receptor type ITNF-RITNFR-I
P19438|p55
P19438|p60
P21580|OTU domain-containing protein 7C
P21580|Putative DNA-binding protein A20
P21580|Zinc finger protein A20
O95999|CARD-containing molecule enhancing NF-kappa-B
O95999|CARD-like apoptotic proteinhCLAP
O95999|B-cell CLL/lymphoma 10Bcl-10
O95999|Cellular-E10c-E10
O95999|Mammalian CARD-containing adapter molecule E10mE10
O95999|CED-3/ICH-1 prodomain homologous E10-like regulatorCIPER
O95999|Cellular homolog of vCARMENcCARMEN
Q9NP80|PNPLA-gamma
Q9NP80|Patatin-like phospholipase domain-containing protein 8
Q9NP80|Intracellular membrane-associated calcium-independent phospholipase A2 gammaiPLA2-gamma
Q9NP80|iPLA2-2
P98179|RNA-binding motif protein 3
P98179|RNPL

Q99879|Histone H2B.eH2B/e
Q93079|Histone H2B.jH2B/j
Q96K21|MLL partner containing FYVE domain
Q96K21|Zinc finger FYVE domain-containing protein 19
P58876|Histone H2B.1 B
P58876|Histone H2B.bH2B/b
P58876|HIRA-interacting protein 2
P23527|Histone H2B.2
P23527|Histone H2B.nH2B/n

P62807|Histone H2B.hH2B/h
P62807|Histone H2B.gH2B/g
P62807|Histone H2B.aH2B/a
P62807|Histone H2B.1 A
P62807|Histone H2B.lH2B/l
P62807|Histone H2B.kH2B/k


Q8NEY8|CDC7 expression repressorCR
Q8NEY8|Gastric cancer antigen Ga50
P05204|High mobility group nucleosome-binding domain-containing protein 2
Q08J23|Myc-induced SUN domain-containing proteinMisu
Q08J23|NOL1/NOP2/Sun domain family member 2
Q08J23|Substrate of AIM1/Aurora kinase B
Q08J23|mRNA cytosine C(5)-methyltransferase
Q08J23|tRNA cytosine C(5)-methyltransferase
Q08J23|tRNA methyltransferase 4 homologhTrm4
Q02241-2|Kinesin-like protein 5
Q02241-2|Mitotic kinesin-like protein 1
Q9H6F5|Cytokine-induced protein with coiled-coil domain
Q16778|Histone H2B-GL105
Q16778|Histone H2B.qH2B/q
P46778|Large ribosomal subunit protein eL21
Q9H788|Protein phosphatase 1 regulatory subunit 38
Q9H788|Protein SH(2)A
Q8NG31|ALL1-fused gene from chromosome 15q14 proteinAF15q14
Q8NG31|Bub-linking kinetochore proteinBlinkin
Q8NG31|Cancer susceptibility candidate gene 5 protein
Q8NG31|Cancer/testis antigen 29CT29
Q8NG31|Kinetochore-null protein 1
Q8NG31|Protein CASC5
Q8NG31|Protein D40/AF15q14
Q69YH5|Recruits PP1 onto mitotic chromatin at anaphase proteinRepo-Man
Q96CF2|Chromatin-modifying protein 4cCHMP4c
Q96CF2|SNF7 homolog associated with Alix 3
Q96CF2|SNF7-3hSnf7-3
Q96CF2|Vacuolar protein sorting-associated protein 32-3hVps32-3Vps32-3
O60814|HIRA-interacting protein 1
Q99877|Histone H2B.dH2B/d
Q8WYJ6|Peanut-like protein 3
Q8WYJ6|LARP
Q8WYJ6|Serologically defined breast cancer antigen NY-BR-24
P46783|Small ribosomal subunit protein eS10
Q9Y2R4|DEAD box protein 52
Q9Y2R4|ATP-dependent RNA helicase ROK1-like
P06899|Histone H2B.1
P06899|Histone H2B.rH2B/r
Q5T5U3|Rho GTPase-activating protein 10
Q5T5U3|Rho-type GTPase-activating protein 21
P45973|Heterochromatin protein 1 homolog alphaHP1 alpha
P45973|Antigen p25

Q8IVT2|Mitotic spindle positioning protein
Q9P227|Rho-type GTPase-activating protein 23
Q6NZI2|Cavin-1
Q6NZI2|Polymerase I and transcript release factor
Q9Y5B9|Chromatin-specific transcription elongation factor 140 kDa subunit
Q9Y5B9|FACT 140 kDa subunit
Q9Y5B9|FACTp140
Q9Y5B9|Facilitates chromatin transcription complex subunit SPT16hSPT16
P62917|Large ribosomal subunit protein uL2
Q9NYP9|FAPP1-associated protein 1
Q9BW61|Placenta cross-immune reaction antigen 1PCIA-1

O00566|M phase phosphoprotein 10
Q9NQZ2|UTP3 homolog
Q9NQZ2|Charged amino acid-rich leucine zipper 1CRL1
Q9NQZ2|Disrupter of silencing SAS10
O15523|DEAD box protein 3, Y-chromosomal
Q8TE77|SSH-like protein 3SSH-3LhSSH-3L
Q96E39|Heterogeneous nuclear ribonucleoprotein G-like 1
O76021|CATX-11
O76021|Cellular senescence-inhibited gene protein
O76021|Protein PBK1
Q15349|pp90RSK3
Q15349|Ribosomal S6 kinase 3RSK-3
Q15349|MAP kinase-activated protein kinase 1cMAPK-activated protein kinase 1cMAPKAP kinase 1cMAPKAPK-1c
Q15349|90 kDa ribosomal protein S6 kinase 2p90-RSK 2p90RSK2
Q8N137|Centrosomal BRCA2-interacting protein
Q8N137|LYST-interacting protein 8
P36873|Protein phosphatase 1C catalytic subunit
Q92997|DSH homolog 3

Q9UNQ0|ATP-binding cassette sub-family G member 2
Q9UNQ0|Breast cancer resistance protein
Q9UNQ0|CDw338
Q9UNQ0|Mitoxantrone resistance-associated protein
Q9UNQ0|Placenta-specific ATP-binding cassette transporter
Q9UNQ0|Urate exporter
Q8IVH8|MAPK/ERK kinase kinase kinase 3MEK kinase kinase 3MEKKK 3
Q8IVH8|Germinal center kinase-related protein kinaseGLK
Q9GZV9|Tumor-derived hypophosphatemia-inducing factor
Q9GZV9|Phosphatonin

P54764|Tyrosine-protein kinase TYRO1
P54764|Tyrosine-protein kinase receptor SEK
P54764|EPH-like kinase 8EK8hEK8

Q99538|Protease, cysteine 1
Q99538|Asparaginyl endopeptidase
O43541|SMAD family member 6SMAD 6Smad6hSMAD6

Q9NRA8|Eukaryotic translation initiation factor 4E nuclear import factor 1
P54259|Dentatorubral-pallidoluysian atrophy protein
P31947|Epithelial cell marker protein 1
P31947|Stratifin

P85298|Rho-type GTPase-activating protein 8
Q9NR28|Second mitochondria-derived activator of caspaseSmac
Q9NR28|Direct IAP-binding protein with low pI
Q8WYQ5|DiGeorge syndrome critical region 8
Q96FI4|DNA glycosylase/AP lyase Neil1
Q96FI4|Nei homolog 1NEH1
Q96FI4|FPG1
Q96FI4|Endonuclease VIII-like 1
Q96FI4|DNA-(apurinic or apyrimidinic site) lyase Neil1
Q96FI4|Nei-like protein 1
Q12904|Multisynthase complex auxiliary component p43
Q8N6T7|Regulatory protein SIR2 homolog 6
Q8N6T7|SIR2-like protein 6
Q7KZF4|100 kDa coactivator
Q7KZF4|EBNA2 coactivator p100
Q7KZF4|Tudor domain-containing protein 11
Q7KZF4|p100 co-activator
P31946|Protein 1054
P31946|Protein kinase C inhibitor protein 1KCIP-1
Q9NPI6|Smad4-interacting transcriptional co-activator
Q9NPI6|Transcription factor SMIF
Q9H2B2|Synaptotagmin IVSytIV
Q16621|p45 NF-E2
Q16621|Nuclear factor, erythroid-derived 2 45 kDa subunit
Q16621|Leucine zipper protein NF-E2
Q04656|Copper pump 1
Q04656|Menkes disease-associated protein
Q13835|Band 6 proteinB6P
Q9Y3M2|PKD2 interactor, Golgi and endoplasmic reticulum-associated 1
Q9Y3M2|ARPP-binding protein
Q9Y3M2|PIGEA-14
Q9Y3M2|Cytosolic leucine-rich protein
